InstrumentCode,InstrumentName,post_name,guid,post_date,category,post_status,post_status.1,Year,raw_category,document_type,classification_status,Migrate,Naming Convention,Folder_Name
SGJ,SCOTIA GROUP JAMAICA LIMITED,scotia-group-jamaica-limited-notice-re-supreme-court-to-hear-claim-no-su-2021-cd-00005-on-february-19-2021,https://www.jamstockex.com/wp-content/uploads/2021/02/Scotia-Group-Jamaica-Limited-Notice-re-Supreme-Court-to-Hear-Claim-No.-SU-2021-CD-00005-on-February-19-2021.pdf,1/2/2021 16:34,"General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings),Articles",inherit,publish,2021,,other_company_news,pending,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
JSE,JAMAICA STOCK EXCHANGE,jamaica-60-diaspora-conference,https://www.jamstockex.com/wp-content/uploads/2022/06/Jamaica-60-Diaspora-Conference.pdf,10/6/2022 10:57,General,inherit,publish,2022,{document_type: Other},jse_event_news,success,Yes,jse_event_news - Posting Date,jse_event_news_new
JSE,JAMAICA STOCK EXCHANGE,registration-and-payment-options-annual-corporate-secretarys-workshop-20-may-2022,https://www.jamstockex.com/wp-content/uploads/2022/05/Registration-and-Payment-Options-Annual-Corporate-Secretarys-Workshop-20-May-2022.pdf,10/5/2022 18:13,General,inherit,publish,2022,{document_type: Other},jse_event_news,success,Yes,jse_event_news - Posting Date,jse_event_news_new
GK,GRACEKENNEDY LIMITED,news-release-gk100-launched-15012022,https://www.jamstockex.com/wp-content/uploads/2022/01/News-Release-GK100-LAUNCHED-15012022.pdf,15/1/2022 12:39,Articles,inherit,publish,2022,{document_type: Other Company News},other_company_news,success,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
CCC,CARIBBEAN CEMENT COMPANY LTD.,disclosure-execution-of-services-i-p-agreements,https://www.jamstockex.com/wp-content/uploads/2022/01/Disclosure-Execution-of-Services-I.P.-Agreements.pdf,26/1/2022 15:33,Articles,inherit,publish,2022,{document_type: Other Company News},other_company_news,success,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
138SL,138 STUDENT LIVING JAMAICA LIMITED,138-student-living-jamaica-limited-138-sl-notice-of-proceedings-for-newspaper,https://www.jamstockex.com/wp-content/uploads/2021/04/138-Student-Living-Jamaica-Limited-138-SL-Notice-of-Proceedings-for-Newspaper.pdf,1/4/2021 8:48,Articles,inherit,publish,2021,{document_type: General Meetings},general_meetings,success,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
138SL,138 STUDENT LIVING JAMAICA LIMITED,agm-cover-letter-2024,https://www.jamstockex.com/wp-content/uploads/2024/01/AGM-Cover-Letter-2024.pdf,30/1/2024 19:18,"General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings)",inherit,publish,2024,{document_type: General Meetings},other_company_news,success,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
138SL,138 STUDENT LIVING JAMAICA LIMITED,agm-cover-letter-2024,https://www.jamstockex.com/wp-content/uploads/2024/01/AGM-Cover-Letter-2024.pdf,30/1/2024 19:18,"General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings)",inherit,publish,2024,{document_type: General Meetings},general_meetings,success,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
138SL,138 STUDENT LIVING JAMAICA LIMITED,agm-letter-to-shareholders-2025-138sl-2,https://www.jamstockex.com/wp-content/uploads/2025/02/AGM-Letter-to-Shareholders-2025-138SL-1.pdf,20/2/2025 16:06,"General Meetings (AGM’s,General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings)",inherit,publish,2025,{document_type: General Meetings},other_company_news,success,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
138SL,138 STUDENT LIVING JAMAICA LIMITED,agm-letter-to-shareholders-2025-138sl-2,https://www.jamstockex.com/wp-content/uploads/2025/02/AGM-Letter-to-Shareholders-2025-138SL-1.pdf,20/2/2025 16:06,"General Meetings (AGM’s,General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings)",inherit,publish,2025,{document_type: General Meetings},general_meetings,success,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
1834,1834 INVESTMENTS LIMITED,rjr-gleaner-notice-to-shareholders,https://www.jamstockex.com/wp-content/uploads/2015/12/RJR-GLEANER-Notice-to-Shareholders.pdf,4/12/2015 9:19,"General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings),Articles",inherit,publish,2015,{document_type: General Meetings},other_company_news,success,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
1834,1834 INVESTMENTS LIMITED,rjr-gleaner-notice-to-shareholders,https://www.jamstockex.com/wp-content/uploads/2015/12/RJR-GLEANER-Notice-to-Shareholders.pdf,4/12/2015 9:19,"General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings),Articles",inherit,publish,2015,{document_type: General Meetings},general_meetings,success,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
1834,1834 INVESTMENTS LIMITED,glnr-notice-to-shareholders-on-synergies,https://www.jamstockex.com/wp-content/uploads/2015/12/GLNR-Notice-to-Shareholders-on-Synergies.pdf,11/12/2015 13:35,Articles,inherit,publish,2015,{document_type: Acquisitions and Disposals},other_company_news,success,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
1834,1834 INVESTMENTS LIMITED,glnr-notice-to-shareholders-on-synergies,https://www.jamstockex.com/wp-content/uploads/2015/12/GLNR-Notice-to-Shareholders-on-Synergies.pdf,11/12/2015 13:35,Articles,inherit,publish,2015,{document_type: Acquisitions and Disposals},acquisitions_mergers_and_disposals,success,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
AFS,ACCESS FINANCIAL SERVICES LIMITED,press-release-access-financial-services-limited-announces-acquisition-of-micro-credit-limited,https://www.jamstockex.com/wp-content/uploads/2017/06/Press-Release-Access-Financial-Services-Limited-Announces-Acquisition-of-Micro-Credit-Limited.pdf,20/6/2017 14:00,Articles,inherit,publish,2017,{document_type: Acquisitions and Disposals},acquisitions_mergers_and_disposals,success,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
AFS,ACCESS FINANCIAL SERVICES LIMITED,press-release-access-financial-services-limited-afs-appoints-new-chairman-board-members-and-makes-changes-to-its-senior-leadership-structure,https://www.jamstockex.com/wp-content/uploads/2020/06/Press-Release-Access-Financial-Services-Limited-AFS-Appoints-New-Chairman-Board-Members-and-Makes-Changes-to-its-Senior-Leadership-Structure.pdf,1/7/2020 12:31,"Articles,Change in Management,Appointments",inherit,publish,2020,"{document_type: Appointments, Resignations and Retirements [Director]}",management_appointments_resignations_and_retirements,success,Yes,company_name - symbol   - management_appointments_resignations_and_retirements - Posting Date,management_appointments_resignations_and_retirements_new
AFS,ACCESS FINANCIAL SERVICES LIMITED,press-release-access-financial-services-limited-afs-appoints-new-chairman-board-members-and-makes-changes-to-its-senior-leadership-structure,https://www.jamstockex.com/wp-content/uploads/2020/06/Press-Release-Access-Financial-Services-Limited-AFS-Appoints-New-Chairman-Board-Members-and-Makes-Changes-to-its-Senior-Leadership-Structure.pdf,1/7/2020 12:31,"Articles,Change in Management,Appointments",inherit,publish,2020,"{document_type: Appointments, Resignations and Retirements [Director]}",director_appointments_resignations_and_retirements,success,Yes,company_name - symbol  - director_appointments_resignations_and_retirements - Posting Date,director_appointments_resignations_and_retirements_new
AFS,ACCESS FINANCIAL SERVICES LIMITED,amendment-to-articles-of-incorporation_,https://www.jamstockex.com/wp-content/uploads/2021/10/Amendment-to-Articles-of-Incorporation_.pdf,13/10/2021 15:35,"Articles,General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings)",inherit,publish,2021,{document_type: General Meetings},Articles,success,Yes,company_name - symbol - articles - Posting Date,articles_new
AFS,ACCESS FINANCIAL SERVICES LIMITED,amendment-to-articles-of-incorporation_,https://www.jamstockex.com/wp-content/uploads/2021/10/Amendment-to-Articles-of-Incorporation_.pdf,13/10/2021 15:35,"Articles,General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings)",inherit,publish,2021,{document_type: General Meetings},general_meetings,success,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
ASBH,A.S. BRYDEN & SONS HOLDINGS LIMITED,seprod-limited-press-release,https://www.jamstockex.com/wp-content/uploads/2025/05/Seprod-Limited-Press-Release.pdf,2/5/2025 16:23,"Other Company News,Acquisitions",inherit,publish,2025,{document_type: Acquisitions and Disposals},takeover_bids_and_scheme_of_arrangements,success,Yes,company_name - symbol - takeover_bids_and_scheme_of_arrangements - Posting Date,takeover_bids_and_scheme_of_arrangements_new
BIL,BARITA INVESTMENTS LIMITED,news-release-barita-investments-limited-bil-take-over-bid-from-cornerstone-investments-holdings-limited-2,https://www.jamstockex.com/wp-content/uploads/2018/07/News-Release-Barita-Investments-Limited-BIL-Take-Over-Bid-from-Cornerstone-Investments-Holdings-Limited-1.pdf,20/7/2018 8:40,"Take-over Bid Circular​,Articles",inherit,publish,2018,{document_type: Acquisitions and Disposals},takeover_bids_and_scheme_of_arrangements,success,Yes,company_name - symbol - takeover_bids_and_scheme_of_arrangements - Posting Date,takeover_bids_and_scheme_of_arrangements_new
